,exp_id,epochs,batch_size,lr,lr_scheduler,optimizer,kernel_size,stgcn,tpcnn,data_id,n,num_gridcells,prob,neighborhood,timewindow,eta,num_features,run_time,train_mse,train_mae,train_kld,valid_mse,valid_mae,valid_kld
10,10,500,32,0.01,True,Adam,3,10,2,4,1000,20,0.6,2,100,1.5,5,11.810787152767181,0.0038369248248636724,0.04129718780517578,3.436376008987427,0.00398020858743361,0.042060116572039466,3.3749266351972307
11,11,500,32,0.01,False,Adam,3,10,2,4,1000,20,0.6,2,100,1.5,5,9.253077871322631,0.0048795265704393385,0.0487636211514473,3.4473210430145262,0.005045782175979444,0.04957845487764904,3.391710042953491
12,12,500,32,0.01,True,Adam,3,0,10,4,1000,20,0.6,2,100,1.5,5,9.274684883594514,0.0069542437978088855,0.06594265416264534,3.449806032180786,0.006004664448222944,0.06063618404524667,3.445371116910662
13,13,500,32,0.01,False,Adam,3,0,10,4,1000,20,0.6,2,100,1.5,5,9.092721655368806,0.0038408256974071264,0.047413335293531415,3.451976470947266,0.004307047330907413,0.05001858249306679,3.4420247759137834
14,14,500,32,0.01,True,Adam,3,2,10,4,1000,20,0.6,2,100,1.5,5,9.40675695180893,0.010659576244652271,0.08177260965108872,3.4636767864227296,0.01063731751803841,0.08165981407676424,3.4160053730010986
15,15,500,32,0.01,False,Adam,3,2,10,4,1000,20,0.6,2,100,1.5,5,9.621301477432251,0.0051794986799359325,0.054547495543956756,3.4727981281280518,0.005788906943053007,0.0579755109335695,3.465717247554234
16,16,500,32,0.01,True,Adam,3,10,10,4,1000,20,0.6,2,100,1.5,5,9.102912672519684,0.010515515469014644,0.08120875269174575,3.488520631790161,0.010486483840005738,0.08110410081488746,3.485008341925485
17,17,500,32,0.01,False,Adam,3,10,10,4,1000,20,0.6,2,100,1.5,5,10.156876537799835,0.010565416850149632,0.08140531331300735,3.4596633243560793,0.010540910730404513,0.08133688249758311,3.444169351032802
18,18,500,32,0.01,True,Adam,5,0,0,4,1000,20,0.6,2,100,1.5,5,9.170893197536468,0.00043116756482049825,0.004302592985332012,3.1903035545349123,0.00044939262443222106,0.004368668289056846,3.1926652703966414
19,19,500,32,0.01,False,Adam,5,0,0,4,1000,20,0.6,2,100,1.5,5,6.359814033985138,0.000433554780902341,0.004387839213013649,3.2036784744262694,0.0004503909689706883,0.004414533264935017,3.2009752818516324
20,20,500,32,0.01,True,Adam,5,2,0,4,1000,20,0.6,2,100,1.5,5,6.859308108329773,0.00044073211727663875,0.0046990571916103365,3.245624485015869,0.00045698446254911166,0.0044909863998847345,3.2186122281210765
21,21,500,32,0.01,False,Adam,5,2,0,4,1000,20,0.6,2,100,1.5,5,8.163263027191162,0.00045104346936568617,0.005310528967529535,3.3047004985809325,0.00045618876798211465,0.004717174119182995,3.2426298686436246
22,22,500,32,0.01,True,Adam,5,10,0,4,1000,20,0.6,2,100,1.5,5,7.143265304088593,0.0007443437003530562,0.009795638918876647,3.4074107933044435,0.0007430201679069017,0.009248520247638226,3.3716390814099992
23,23,500,32,0.01,False,Adam,5,10,0,4,1000,20,0.6,2,100,1.5,5,6.6316820006370545,0.00045573193230666223,0.005525525007396936,3.3145406818389893,0.00046225702473228533,0.005201197029756648,3.2918449469975064
24,24,500,32,0.01,True,Adam,5,0,2,4,1000,20,0.6,2,100,1.5,5,8.6414461145401,0.00041247977991588415,0.0050179603323340415,3.282960910797119,0.0004299482804656561,0.00508470440815602,3.2843174253191267
25,25,500,32,0.01,False,Adam,5,0,2,4,1000,20,0.6,2,100,1.5,5,8.640174246788025,0.00041379600064828993,0.005046178866177797,3.2872499561309816,0.00043121953162231615,0.005104507386152234,3.2871458871023997
26,26,500,32,0.01,True,Adam,5,2,2,4,1000,20,0.6,2,100,1.5,5,6.948669786453247,0.0004270206263754517,0.005678842514753341,3.327283191680908,0.000440158332431955,0.00540105759033135,3.2986538069588796
27,27,500,32,0.01,False,Adam,5,2,2,4,1000,20,0.6,2,100,1.5,5,9.887755049228668,0.0004202217946294695,0.005338242668658495,3.3104196262359618,0.00043640432081052234,0.0052970110970948425,3.2987136840820312
28,28,500,32,0.01,True,Adam,5,10,2,4,1000,20,0.6,2,100,1.5,5,9.825558165550232,0.00045618422678671776,0.007217951975762844,3.4017654705047606,0.0004658314158275191,0.006904160603880882,3.388881649289812
29,29,500,32,0.01,False,Adam,5,10,2,4,1000,20,0.6,2,100,1.5,5,8.703523880004882,0.000451479300390929,0.0072548846900463105,3.413672170639038,0.0004625478218908289,0.00683133363989847,3.3926152842385426
30,30,500,32,0.01,True,Adam,5,0,10,4,1000,20,0.6,2,100,1.5,5,8.074731006145477,0.0028381147421896458,0.038807708323001865,3.458382320404053,0.002964044821315578,0.039545897394418716,3.439483676637922
31,31,500,32,0.01,False,Adam,5,0,10,4,1000,20,0.6,2,100,1.5,5,9.052077689170837,0.0015847025532275438,0.02577258512377739,3.4493040657043457,0.0016898349858820438,0.026552657995905195,3.439718587057931
32,32,500,32,0.01,True,Adam,5,2,10,4,1000,20,0.6,2,100,1.5,5,10.215311552524566,0.006901157665997744,0.06377340540289879,3.458126592636108,0.006175847591034004,0.06057997792959213,3.4574198382241383
33,33,500,32,0.01,False,Adam,5,2,10,4,1000,20,0.6,2,100,1.5,5,6.936347344398499,0.009880113117396831,0.07767177075147629,3.482715015411377,0.00909484550356865,0.07503959110804967,3.4293674741472517
34,34,500,32,0.01,True,Adam,5,10,10,4,1000,20,0.6,2,100,1.5,5,9.46134939622879,0.010722995586693287,0.08191900432109833,3.464082498550415,0.010657664255372115,0.08179733902215958,3.464229072843279
35,35,500,32,0.01,False,Adam,5,10,10,4,1000,20,0.6,2,100,1.5,5,9.234343430519104,0.010489615239202976,0.08109229505062103,3.504551343917847,0.010476745665073395,0.08103934356144496,3.4639786652156284
